subject,task,session,file,condition,n_trials
sub20,task2,3,clean_epochs_task2_ICA_sub20_pyb1_sess1-epo.fif,correct,136
sub20,task2,3,clean_epochs_task2_ICA_sub20_pyb1_sess1-epo.fif,error,14
sub20,task2,3,clean_epochs_task2_ICA_sub20_pyb1_sess1-epo.fif,left,19
sub20,task2,3,clean_epochs_task2_ICA_sub20_pyb1_sess1-epo.fif,right,131
sub20,task2,3,clean_epochs_task2_ICA_sub20_pyb1_sess1-epo.fif,correct_left,16
sub20,task2,3,clean_epochs_task2_ICA_sub20_pyb1_sess1-epo.fif,correct_right,120
sub20,task2,3,clean_epochs_task2_ICA_sub20_pyb1_sess1-epo.fif,error_left,3
sub20,task2,3,clean_epochs_task2_ICA_sub20_pyb1_sess1-epo.fif,error_right,11
sub20,task2,4,clean_epochs_task2_ICA_sub20_pyb1_sess2-epo.fif,correct,135
sub20,task2,4,clean_epochs_task2_ICA_sub20_pyb1_sess2-epo.fif,error,15
sub20,task2,4,clean_epochs_task2_ICA_sub20_pyb1_sess2-epo.fif,left,23
sub20,task2,4,clean_epochs_task2_ICA_sub20_pyb1_sess2-epo.fif,right,127
sub20,task2,4,clean_epochs_task2_ICA_sub20_pyb1_sess2-epo.fif,correct_left,19
sub20,task2,4,clean_epochs_task2_ICA_sub20_pyb1_sess2-epo.fif,correct_right,116
sub20,task2,4,clean_epochs_task2_ICA_sub20_pyb1_sess2-epo.fif,error_left,4
sub20,task2,4,clean_epochs_task2_ICA_sub20_pyb1_sess2-epo.fif,error_right,11
sub21,task2,3,clean_epochs_task2_ICA_sub21_zfy1_sess1-epo.fif,correct,113
sub21,task2,3,clean_epochs_task2_ICA_sub21_zfy1_sess1-epo.fif,error,37
sub21,task2,3,clean_epochs_task2_ICA_sub21_zfy1_sess1-epo.fif,left,4
sub21,task2,3,clean_epochs_task2_ICA_sub21_zfy1_sess1-epo.fif,right,146
sub21,task2,3,clean_epochs_task2_ICA_sub21_zfy1_sess1-epo.fif,correct_left,1
sub21,task2,3,clean_epochs_task2_ICA_sub21_zfy1_sess1-epo.fif,correct_right,112
sub21,task2,3,clean_epochs_task2_ICA_sub21_zfy1_sess1-epo.fif,error_left,3
sub21,task2,3,clean_epochs_task2_ICA_sub21_zfy1_sess1-epo.fif,error_right,34
sub21,task2,4,clean_epochs_task2_ICA_sub21_zfy1_sess2-epo.fif,correct,130
sub21,task2,4,clean_epochs_task2_ICA_sub21_zfy1_sess2-epo.fif,error,20
sub21,task2,4,clean_epochs_task2_ICA_sub21_zfy1_sess2-epo.fif,left,22
sub21,task2,4,clean_epochs_task2_ICA_sub21_zfy1_sess2-epo.fif,right,128
sub21,task2,4,clean_epochs_task2_ICA_sub21_zfy1_sess2-epo.fif,correct_left,13
sub21,task2,4,clean_epochs_task2_ICA_sub21_zfy1_sess2-epo.fif,correct_right,117
sub21,task2,4,clean_epochs_task2_ICA_sub21_zfy1_sess2-epo.fif,error_left,9
sub21,task2,4,clean_epochs_task2_ICA_sub21_zfy1_sess2-epo.fif,error_right,11
sub22,task2,1,clean_epochs_task2_ICA_sub22_zzy1_sess1-epo.fif,correct,127
sub22,task2,1,clean_epochs_task2_ICA_sub22_zzy1_sess1-epo.fif,error,23
sub22,task2,1,clean_epochs_task2_ICA_sub22_zzy1_sess1-epo.fif,left,86
sub22,task2,1,clean_epochs_task2_ICA_sub22_zzy1_sess1-epo.fif,right,64
sub22,task2,1,clean_epochs_task2_ICA_sub22_zzy1_sess1-epo.fif,correct_left,68
sub22,task2,1,clean_epochs_task2_ICA_sub22_zzy1_sess1-epo.fif,correct_right,59
sub22,task2,1,clean_epochs_task2_ICA_sub22_zzy1_sess1-epo.fif,error_left,18
sub22,task2,1,clean_epochs_task2_ICA_sub22_zzy1_sess1-epo.fif,error_right,5
sub22,task2,2,clean_epochs_task2_ICA_sub22_zzy1_sess2-epo.fif,correct,135
sub22,task2,2,clean_epochs_task2_ICA_sub22_zzy1_sess2-epo.fif,error,15
sub22,task2,2,clean_epochs_task2_ICA_sub22_zzy1_sess2-epo.fif,left,65
sub22,task2,2,clean_epochs_task2_ICA_sub22_zzy1_sess2-epo.fif,right,85
sub22,task2,2,clean_epochs_task2_ICA_sub22_zzy1_sess2-epo.fif,correct_left,59
sub22,task2,2,clean_epochs_task2_ICA_sub22_zzy1_sess2-epo.fif,correct_right,76
sub22,task2,2,clean_epochs_task2_ICA_sub22_zzy1_sess2-epo.fif,error_left,6
sub22,task2,2,clean_epochs_task2_ICA_sub22_zzy1_sess2-epo.fif,error_right,9
sub22,task2,3,clean_epochs_task2_ICA_sub22_zzy1_sess3-epo.fif,correct,246
sub22,task2,3,clean_epochs_task2_ICA_sub22_zzy1_sess3-epo.fif,error,54
sub22,task2,3,clean_epochs_task2_ICA_sub22_zzy1_sess3-epo.fif,left,15
sub22,task2,3,clean_epochs_task2_ICA_sub22_zzy1_sess3-epo.fif,right,285
sub22,task2,3,clean_epochs_task2_ICA_sub22_zzy1_sess3-epo.fif,correct_left,4
sub22,task2,3,clean_epochs_task2_ICA_sub22_zzy1_sess3-epo.fif,correct_right,242
sub22,task2,3,clean_epochs_task2_ICA_sub22_zzy1_sess3-epo.fif,error_left,11
sub22,task2,3,clean_epochs_task2_ICA_sub22_zzy1_sess3-epo.fif,error_right,43
sub22,task2,4,clean_epochs_task2_ICA_sub22_zzy1_sess4-epo.fif,correct,229
sub22,task2,4,clean_epochs_task2_ICA_sub22_zzy1_sess4-epo.fif,error,71
sub22,task2,4,clean_epochs_task2_ICA_sub22_zzy1_sess4-epo.fif,left,22
sub22,task2,4,clean_epochs_task2_ICA_sub22_zzy1_sess4-epo.fif,right,278
sub22,task2,4,clean_epochs_task2_ICA_sub22_zzy1_sess4-epo.fif,correct_left,15
sub22,task2,4,clean_epochs_task2_ICA_sub22_zzy1_sess4-epo.fif,correct_right,214
sub22,task2,4,clean_epochs_task2_ICA_sub22_zzy1_sess4-epo.fif,error_left,7
